,Unnamed: 0,Session_ID,User_ID,Visit_date,Device_Type,Browser,Operating_System,Traffic_Source,Country,City,Landing_Page,Exit_Page,Bounce,New_or_Returning,Conversation,Pages_Visited,Session_Duration,Page_Views,Clicks,Revenue
0,0,ses0001,usd0001,2025-12-16,Mobile,Opera,MacOS,Direct,Canada,London,About us,Home,No,Returning Visitor,Yes,14,42,21,4,9891
1,1,ses0002,usd0002,2025-12-25,Mobile,Firefox,Android,Direct,US,London,About us,Home,Yes,Returning Visitor,No,39,33,7,34,9024
2,2,ses0003,usd0003,2025-09-08,Mobile,Opera,MacOS,Organic search,Australia,Bangalore,Blog,Home,Yes,Returning Visitor,No,83,58,10,22,6277
3,3,ses0004,usd0004,2025-03-18,Tablet,Chrome,Linux,Referral,Singapore,Sydney,Login,Contact,No,New Visitor,No,46,16,21,8,4789
4,4,ses0005,usd0005,2025-01-03,Desktop,Firefox,Linux,Email marketing,Australia,Sydney,About us,Services,Yes,New Visitor,Yes,53,5,18,13,9960
5,5,ses0006,usd0006,2025-12-08,Desktop,Edge,MacOS,Email marketing,US,Delhi,Products,Home,No,Returning Visitor,No,41,19,12,29,2774
6,6,ses0007,usd0007,2025-05-30,Mobile,Firefox,Android,Social media,India,Bangalore,Products,Services,No,New Visitor,No,96,52,19,13,5149
7,7,ses0008,usd0008,2025-02-04,Mobile,Firefox,MacOS,Referral,Australia,Delhi,Pricing,Products,No,New Visitor,No,53,33,14,44,1416
8,8,ses0009,usd0009,2025-07-24,Mobile,Safari,MacOS,Direct,Australia,Singapore,Home,Pricing,Yes,Returning Visitor,No,79,24,24,7,8075
9,9,ses0010,usd0010,2025-10-21,Tablet,Edge,Linux,Organic search,Australia,London,Services,Products,No,New Visitor,Yes,47,58,15,2,3703
10,10,ses0011,usd0011,2025-04-27,Tablet,Edge,Android,Organic search,US,New York,Pricing,Services,No,Returning Visitor,Yes,58,22,2,17,4689
11,11,ses0012,usd0012,2025-10-20,Desktop,Opera,Windows,Direct,Australia,Mumbai,About us,Contact,Yes,New Visitor,No,45,14,1,27,2070
12,12,ses0013,usd0013,2025-11-30,Mobile,Opera,MacOS,Paid search,India,Sydney,Blog,Pricing,Yes,Returning Visitor,No,72,52,7,48,6397
13,13,ses0014,usd0014,2025-09-27,Tablet,Opera,MacOS,Referral,UK,Delhi,Home,Contact,No,Returning Visitor,No,86,6,15,13,9266
14,14,ses0015,usd0015,2025-01-13,Mobile,Safari,MacOS,Referral,US,Hyderabad,Contact,Home,Yes,Returning Visitor,No,50,19,4,24,1028
15,15,ses0016,usd0016,2025-03-13,Desktop,Chrome,Android,Paid search,Australia,London,Contact,Products,Yes,Returning Visitor,Yes,53,39,8,42,8441
16,16,ses0017,usd0017,2025-06-13,Desktop,Safari,Android,Referral,UK,Mumbai,Home,Contact,Yes,Returning Visitor,No,53,56,9,38,8913
17,17,ses0018,usd0018,2025-01-22,Mobile,Opera,Linux,Organic search,UK,London,Contact,Home,No,New Visitor,No,23,28,23,43,8618
18,18,ses0019,usd0019,2025-03-03,Tablet,Opera,Android,Email marketing,UK,Singapore,Contact,Services,No,Returning Visitor,No,21,56,15,29,2571
19,19,ses0020,usd0020,2025-02-13,Desktop,Edge,Windows,Direct,Canada,New York,Contact,Contact,Yes,Returning Visitor,Yes,16,16,20,45,9074
20,20,ses0021,usd0021,2025-09-11,Tablet,Safari,Linux,Paid search,Australia,Bangalore,Products,Services,Yes,New Visitor,No,80,36,4,26,8953
21,21,ses0022,usd0022,2025-05-21,Desktop,Chrome,iOS,Referral,Canada,Sydney,Blog,Pricing,Yes,Returning Visitor,Yes,80,51,24,46,7945
22,22,ses0023,usd0023,2025-01-15,Mobile,Safari,Windows,Email marketing,Canada,Delhi,Pricing,Products,No,New Visitor,Yes,87,21,10,19,6623
23,23,ses0024,usd0024,2025-09-07,Tablet,Chrome,Windows,Direct,UK,Hyderabad,Products,Contact,No,New Visitor,No,10,22,9,22,226
24,24,ses0025,usd0025,2025-01-30,Tablet,Chrome,Android,Direct,US,London,Services,Home,No,Returning Visitor,No,56,19,19,20,7894
25,25,ses0026,usd0026,2025-09-01,Mobile,Safari,Windows,Direct,UK,Hyderabad,Services,Contact,Yes,Returning Visitor,No,29,43,16,16,9124
26,26,ses0027,usd0027,2025-03-09,Mobile,Safari,iOS,Organic search,Singapore,Mumbai,Blog,Contact,No,Returning Visitor,Yes,56,30,11,37,6957
27,27,ses0028,usd0028,2025-04-24,Desktop,Chrome,iOS,Email marketing,Singapore,London,Pricing,Products,No,New Visitor,No,69,56,10,26,1782
28,28,ses0029,usd0029,2025-06-18,Mobile,Firefox,MacOS,Referral,India,Singapore,Home,Home,No,Returning Visitor,Yes,30,23,8,1,774
29,29,ses0030,usd0030,2025-08-16,Mobile,Firefox,Windows,Email marketing,UK,London,Home,Pricing,Yes,New Visitor,No,46,58,23,17,8455
30,30,ses0031,usd0031,2025-06-18,Desktop,Safari,MacOS,Email marketing,US,Bangalore,Login,Home,Yes,New Visitor,Yes,18,12,11,8,6741
31,31,ses0032,usd0032,2025-04-10,Desktop,Opera,Linux,Email marketing,Germany,Chennai,About us,Blog,Yes,Returning Visitor,No,97,30,7,42,5616
32,32,ses0033,usd0033,2025-11-01,Tablet,Edge,Linux,Paid search,India,London,Products,Contact,Yes,Returning Visitor,No,36,11,9,5,849
33,33,ses0034,usd0034,2025-05-22,Desktop,Opera,Linux,Paid search,UK,London,About us,Contact,No,Returning Visitor,No,23,12,3,47,8344
34,34,ses0035,usd0035,2025-08-13,Mobile,Chrome,MacOS,Social media,UK,New York,Home,Contact,Yes,Returning Visitor,Yes,38,37,19,29,6040
